run,metric,panel,level,along,across,grout,across,target,limit,nominal,tesserae,ratio,cut,overlap,covered,bareR,bare03,areaMin,areaP5,areaMed,areaP95,areaMax,tiny,sliver,manySided,kink,courses,stubCourse,medCourse,filler,minSideP5,uncuttable,awkward,structureOff,edgesCrossed,dE_mean,dE_p95,dE_max,colorsBefore,colorsUsed,rare,dominant,lightestGap,banding,reassigned,ms
15x15-Draft-c12,Cie76,15x15,Draft,6,7,1,21,50,PlateThickness,378,382,1.0106,0.6806,0.0004,0.7214,0.4041,0.0009,0.3519,0.7099,0.9427,1.1543,1.6397,0.0079,0.0026,0.0052,0.0596,29,0.1034,7,0.0602,5.0213,0,0.0445,13.7443,0.125,13.302,22.7941,28.8707,35,12,0,0.2461,6.1844,0.0667,113,350
30x30-Draft-c12,Cie76,30x30,Draft,6,7,1,43,50,PlateThickness,1591,1674,1.0522,0.7407,0.0003,0.7213,0.4041,0.0005,0.2875,0.6658,0.9241,1.128,1.6839,0.0102,0,0.0018,0.0356,105,0.181,10,0.04,4.8953,0,0.0669,17.885,0.1951,13.0459,24.3779,32.7639,64,12,0,0.2593,6.2054,0.0251,584,822
