run,metric,panel,level,along,across,grout,across,target,limit,nominal,tesserae,ratio,cut,overlap,covered,bareR,bare03,areaMin,areaP5,areaMed,areaP95,areaMax,tiny,sliver,manySided,kink,courses,stubCourse,medCourse,filler,minSideP5,uncuttable,awkward,structureOff,edgesCrossed,dE_mean,dE_p95,dE_max,colorsBefore,colorsUsed,rare,dominant,lightestGap,banding,reassigned,ms
15x15-Draft-c12,Cie76,15x15,Draft,6,7,1,21,50,PlateThickness,378,329,0.8704,0.5471,0.0003,0.7443,0.4041,0.0007,0.3519,0.6739,1.0714,1.6649,1.8301,0.0091,0.003,0.0061,0.0714,29,0.1034,6,0.0608,4.9583,0,0.0578,14.8111,0.125,13.1229,22.034,28.9271,35,12,0,0.2249,4.5153,0.0845,100,341
30x30-Draft-c12,Cie76,30x30,Draft,6,7,1,43,50,PlateThickness,1591,1367,0.8592,0.6993,0.0005,0.7449,0.5469,0.0006,0.2875,0.645,1.0747,1.8951,2.2581,0.0124,0,0.0146,0.0513,105,0.181,8,0.0541,4.714,0,0.0988,18.6809,0.1951,13.3825,25.1443,33.1082,61,12,0,0.2224,1.4962,0.0263,510,802
