run,metric,panel,level,along,across,grout,across,target,limit,nominal,tesserae,ratio,cut,overlap,covered,bareR,bare03,areaMin,areaP5,areaMed,areaP95,areaMax,tiny,sliver,manySided,kink,courses,stubCourse,medCourse,filler,minSideP5,uncuttable,awkward,structureOff,edgesCrossed,dE_mean,dE_p95,dE_max,colorsBefore,colorsUsed,rare,dominant,lightestGap,banding,reassigned,ms
15x15-Draft-c12,Cie76,15x15,Draft,6,7,1,21,50,PlateThickness,378,383,1.0132,0.6501,0.0014,0.7134,0.4286,0.0014,0.3078,0.648,0.9498,1.1667,1.4072,0.0052,0,0.0026,0.1389,35,0.2571,6,0.0679,4.9098,0,0.0679,29.6166,0.4,10.8833,16.2715,21.6435,25,12,0,0.1802,9.5764,0.0497,48,350
30x30-Draft-c12,Cie76,30x30,Draft,6,7,1,43,50,PlateThickness,1591,1681,1.0566,0.7335,0.0003,0.7128,0.4286,0.0011,0.4264,0.643,0.8946,1.133,1.5117,0,0,0.0024,0.0411,105,0.1619,9,0.0405,4.6435,0,0.119,29.1482,0.1667,11.0891,16.4959,26.1099,31,12,0,0.1993,10.4138,0.0441,219,784
