run,metric,panel,level,along,across,grout,across,target,limit,nominal,tesserae,ratio,cut,overlap,covered,bareR,bare03,areaMin,areaP5,areaMed,areaP95,areaMax,tiny,sliver,manySided,kink,courses,stubCourse,medCourse,filler,minSideP5,uncuttable,awkward,structureOff,edgesCrossed,dE_mean,dE_p95,dE_max,colorsBefore,colorsUsed,rare,dominant,lightestGap,banding,reassigned,ms
15x15-Draft-c12,Cie76,15x15,Draft,6,7,1,21,50,PlateThickness,378,356,0.9418,0.6039,0.0016,0.7257,0.4286,0.0012,0.3078,0.6676,1.0113,1.4647,2.081,0.0056,0,0.014,0.1423,34,0.2941,5,0.0815,4.8668,0,0.0702,32.746,0.4,10.5109,15.6059,21.6435,24,12,0,0.191,9.5764,0.028,42,341
30x30-Draft-c12,Cie76,30x30,Draft,6,7,1,43,50,PlateThickness,1591,1560,0.9805,0.7282,0.0004,0.7207,0.4877,0.0011,0.4264,0.6546,0.9446,1.5013,2.0374,0,0,0.0058,0.0489,108,0.2037,7,0.0564,4.6641,0,0.1122,31.1382,0.2308,10.884,16.2754,26.1099,31,12,0,0.1878,10.4138,0.0449,241,770
