run,metric,panel,level,along,across,grout,across,target,limit,nominal,tesserae,ratio,cut,overlap,covered,bareR,bare03,areaMin,areaP5,areaMed,areaP95,areaMax,tiny,sliver,manySided,kink,courses,stubCourse,medCourse,filler,minSideP5,uncuttable,awkward,structureOff,edgesCrossed,dE_mean,dE_p95,dE_max,colorsBefore,colorsUsed,rare,dominant,lightestGap,banding,reassigned,ms
15x15-Draft-c12,Cie76,15x15,Draft,6,7,1,21,50,PlateThickness,378,329,0.8704,0.5714,0.0003,0.7437,0.3449,0.0004,0.3717,0.7192,1.0714,1.8087,2.1796,0.003,0,0.003,0.0902,26,0.2308,8,0.076,4.8919,0,0.0699,15.1005,0.4,4.9559,7.9989,27.3358,22,12,2,0.4772,14.9911,0.0532,24,503
30x30-Draft-c12,Cie76,30x30,Draft,6,7,1,43,50,PlateThickness,1591,1374,0.8636,0.6528,0.0002,0.7399,0.4286,0.0005,0.3844,0.7096,1.0693,1.8879,2.3219,0.0007,0,0.0095,0.0573,86,0.1628,9,0.0539,4.819,0,0.0691,20.0297,0.4118,5.181,9.1311,33.1521,41,12,0,0.4243,2.541,0.0583,139,881
