run,metric,panel,level,along,across,grout,across,target,limit,nominal,tesserae,ratio,cut,overlap,covered,bareR,bare03,areaMin,areaP5,areaMed,areaP95,areaMax,tiny,sliver,manySided,kink,courses,stubCourse,medCourse,filler,minSideP5,uncuttable,awkward,structureOff,edgesCrossed,dE_mean,dE_p95,dE_max,colorsBefore,colorsUsed,rare,dominant,lightestGap,banding,reassigned,ms
15x15-Draft-c12,Cie76,15x15,Draft,6,7,1,21,50,PlateThickness,378,382,1.0106,0.6361,0.0004,0.7248,0.4286,0.0008,0.3717,0.6843,0.9564,1.1386,1.5629,0.0026,0,0.0079,0.0605,26,0.1923,9,0.0497,4.9438,0,0.0602,14.5839,0.4,6.4778,10.6051,26.9832,26,12,1,0.4738,15.3411,0.0392,36,517
30x30-Draft-c12,Cie76,30x30,Draft,6,7,1,43,50,PlateThickness,1591,1634,1.027,0.6854,0.0002,0.7215,0.4041,0.0004,0.3413,0.6933,0.945,1.1306,1.7283,0.0024,0,0.0012,0.0404,87,0.1494,14,0.0312,4.8901,0,0.0581,18.7902,0.5,4.905,9.1153,33.1521,39,12,0,0.5122,2.541,0.0501,157,908
